,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,0,0,0,0,"71,743","71,743","111,802","132,180","124,675"
毛利潤,0,0,0,0,0,0,"65,271","68,843","66,861"
營業利潤,0,0,0,0,0,0,"57,314","60,762","58,204"
淨收入,0,0,0,0,0,0,"42,189","44,574","42,266"
每股收益,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.97 ,$0.96 ,$0.88 
息稅前利潤率,0.0,0.0,0.0,0.0,0.0,0.0,51.3,46.0,46.7
淨收入率,0.0,0.0,0.0,0.0,0.0,0.0,37.7,33.7,33.9
流動資產,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$289,468 ","$369,546 ","$331,645 "
非流動資產,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$729,479 ","$707,889 ","$699,771 "
負債總額,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$381,035 ","$433,405 ","$403,901 "
股東權益,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$637,912 ","$644,030 ","$627,515 "
淨負債權益比率,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,(7.5),(22.5),(19.1)
普通股權資本比率,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,61.7 ,59.0 ,59.9 
流動資產與流動負債比,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,2.39x,1.89x,1.96x
現金循環週期,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
