,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,"7,425","6,721","8,056","8,525","8,197","8,811","9,685","9,175","9,037"
毛利潤,"5,624","4,964","6,203","6,423","6,168","6,683","7,147","6,555","6,583"
營業利潤,"1,765","2,263","2,110","2,180","1,800","1,832","2,134","2,186","2,026"
淨收入,"1,349","1,927","1,761","1,913","1,530","1,549","1,728","1,852","1,721"
每股收益,$0.11 ,$0.08 ,$0.15 ,$0.13 ,$0.13 ,$0.15 ,$0.14 ,$0.16 ,$0.14 
息稅前利潤率,23.8,33.7,26.2,25.6,22.0,20.8,22.0,23.8,22.4
淨收入率,18.2,28.7,21.9,22.4,18.7,17.6,17.8,20.2,19.0
流動資產,$0 ,"$18,913 ","$18,913 ","$22,993 ","$22,993 ","$24,948 ","$24,948 ","$26,740 ","$26,740 "
非流動資產,$0 ,"$16,807 ","$16,807 ","$16,519 ","$16,519 ","$17,672 ","$17,672 ","$18,754 ","$18,754 "
負債總額,$0 ,"$8,279 ","$8,279 ","$9,077 ","$9,077 ","$9,708 ","$9,708 ","$11,038 ","$11,038 "
股東權益,$0 ,"$27,442 ","$27,442 ","$30,435 ","$30,435 ","$32,912 ","$32,912 ","$34,456 ","$34,456 "
淨負債權益比率,0.0 ,(36.7),(36.7),(43.1),(43.1),(39.6),(39.6),(43.0),(43.0)
普通股權資本比率,0.0 ,73.7 ,73.7 ,74.1 ,74.1 ,74.4 ,74.4 ,71.0 ,71.0 
流動資產與流動負債比,0.00x,2.53x,2.53x,2.76x,2.76x,2.81x,2.81x,2.70x,2.70x
現金循環週期,0.00x,40.18x,40.18x,35.07x,35.07x,55.04x,55.04x,50.09x,50.09x
