,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,"14,129","9,225","12,614","14,374","14,639","11,132","12,738","14,288","14,598"
毛利潤,"7,704","4,543","6,664","7,913","8,066","5,780","6,502","7,211","7,487"
營業利潤,"3,395",760,"2,622","3,378","3,469","1,309","3,052","3,099","3,099"
淨收入,"2,449",101,"1,807","2,097","2,707",771,"2,357","2,534","2,354"
每股收益,$0.19 ,$0.01 ,$0.14 ,$0.16 ,$0.21 ,$0.07 ,$0.18 ,$0.14 ,$0.18 
息稅前利潤率,24.0,8.2,20.8,23.5,23.7,11.8,24.0,21.7,21.7
淨收入率,17.3,1.1,14.3,14.6,18.5,6.9,18.5,17.7,16.1
流動資產,$0 ,"$18,082 ","$18,082 ","$21,070 ","$21,070 ","$24,648 ","$24,648 ","$24,876 ","$24,876 "
非流動資產,$0 ,"$107,443 ","$107,443 ","$105,980 ","$105,980 ","$104,986 ","$104,986 ","$98,060 ","$98,060 "
負債總額,$0 ,"$42,227 ","$42,227 ","$43,065 ","$43,065 ","$43,214 ","$43,214 ","$40,068 ","$40,068 "
股東權益,$0 ,"$83,298 ","$83,298 ","$83,986 ","$83,986 ","$86,420 ","$86,420 ","$82,867 ","$82,867 "
淨負債權益比率,0.0 ,(10.2),(10.2),(10.6),(10.6),(16.7),(16.7),(16.2),(16.2)
普通股權資本比率,0.0 ,22.1 ,22.1 ,24.0 ,24.0 ,28.2 ,28.2 ,30.7 ,30.7 
流動資產與流動負債比,0.00x,0.50x,0.50x,0.57x,0.57x,0.67x,0.67x,0.73x,0.73x
現金循環週期,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
