,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,"48,720","52,882","51,277","52,191","52,371","56,313","51,164","53,693","55,009"
毛利潤,0,0,0,0,0,0,0,0,0
營業利潤,"6,712",-496,"3,886","4,069","2,248","3,583","5,011","4,669","4,669"
淨收入,"3,426",535,"3,964","1,095","1,034","2,205","4,519","1,412","1,216"
每股收益,$0.23 ,$0.23 ,$0.27 ,$0.07 ,$0.09 ,$0.14 ,$0.35 ,$0.11 ,$0.09 
息稅前利潤率,13.8,-0.9,7.6,7.8,4.3,6.4,9.8,8.7,8.7
淨收入率,7.0,1.0,7.7,2.1,2.0,3.9,8.8,2.6,2.2
流動資產,$0 ,"$60,742 ","$60,742 ","$67,335 ","$67,335 ","$59,433 ","$59,433 ","$62,088 ","$62,088 "
非流動資產,$0 ,"$84,368 ","$84,368 ","$85,702 ","$85,702 ","$91,925 ","$91,925 ","$92,206 ","$92,206 "
負債總額,$0 ,"$59,936 ","$59,936 ","$64,842 ","$64,842 ","$75,823 ","$75,823 ","$77,202 ","$77,202 "
股東權益,$0 ,"$85,174 ","$85,174 ","$88,195 ","$88,195 ","$75,534 ","$75,534 ","$77,092 ","$77,092 "
淨負債權益比率,0.0 ,6.2 ,6.2 ,9.6 ,9.6 ,28.0 ,28.0 ,34.6 ,34.6 
普通股權資本比率,0.0 ,41.7 ,41.7 ,42.4 ,42.4 ,31.6 ,31.6 ,32.9 ,32.9 
流動資產與流動負債比,0.00x,1.93x,1.93x,1.73x,1.73x,1.67x,1.67x,1.71x,1.71x
現金循環週期,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
