,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,"582,063","630,097","671,253","806,337","890,635","860,861","928,340","981,322","964,027"
毛利潤,"144,681","144,681","144,681","144,681","144,681","144,681","144,681","144,681","144,681"
營業利潤,"35,084","10,326","34,710","35,447","31,902","12,105","40,540","35,535","14,855"
淨收入,"52,069","10,683","22,462","25,800","24,841","13,774","28,705","25,039","14,707"
每股收益,$0.13 ,$0.19 ,$0.18 ,$0.22 ,$0.21 ,$0.21 ,$0.24 ,$0.22 ,$0.13 
息稅前利潤率,6.0,1.6,5.2,4.4,3.6,1.4,4.4,3.6,1.5
淨收入率,8.9,1.7,3.3,3.2,2.8,1.6,3.1,2.6,1.5
流動資產,"$628,789 ","$541,281 ","$616,906 ","$665,645 ","$706,288 ","$684,569 ","$839,934 ","$827,488 ","$747,277 "
非流動資產,"$1,424,702 ","$1,524,364 ","$1,521,168 ","$1,563,008 ","$1,573,602 ","$1,633,120 ","$1,648,378 ","$1,585,298 ","$1,514,780 "
負債總額,"$1,061,135 ","$1,011,138 ","$1,058,770 ","$1,138,591 ","$1,180,542 ","$1,195,100 ","$1,333,364 ","$1,322,552 ","$1,242,057 "
股東權益,"$992,356 ","$1,054,507 ","$1,079,304 ","$1,090,062 ","$1,099,348 ","$1,122,589 ","$1,154,948 ","$1,090,234 ","$1,020,000 "
淨負債權益比率,21.8 ,11.6 ,16.3 ,14.9 ,14.1 ,9.6 ,19.8 ,22.7 ,20.8 
普通股權資本比率,36.3 ,42.6 ,42.1 ,41.0 ,40.4 ,40.7 ,39.1 ,37.9 ,37.8 
流動資產與流動負債比,0.92x,0.87x,0.93x,0.89x,0.92x,0.87x,0.93x,0.89x,0.86x
現金循環週期,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
