,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,"6,139","6,139","8,666","8,552","8,552","8,552","8,552","8,552","8,552"
毛利潤,"4,701","4,701","6,972","6,943","6,943","6,943","6,943","6,943","6,943"
營業利潤,"1,307","1,307","1,690","2,156","2,156","2,156","2,156","2,156","2,156"
淨收入,714,714,"2,289","7,897","7,897","7,897","7,897","7,897","7,897"
每股收益,$0.02 ,$0.02 ,$0.12 ,$0.42 ,$0.42 ,$0.42 ,$0.42 ,$0.42 ,$0.42 
息稅前利潤率,21.3,21.3,19.5,25.2,25.2,25.2,25.2,25.2,25.2
淨收入率,11.6,11.6,26.4,92.4,92.4,92.4,92.4,92.4,92.4
流動資產,"$34,692 ","$27,077 ","$25,853 ","$28,641 ","$28,641 ","$28,641 ","$28,641 ","$28,641 ","$28,641 "
非流動資產,"$40,858 ","$29,004 ","$32,463 ","$38,961 ","$38,961 ","$38,961 ","$38,961 ","$38,961 ","$38,961 "
負債總額,"$29,376 ","$29,449 ","$28,831 ","$30,186 ","$30,186 ","$30,186 ","$30,186 ","$30,186 ","$30,186 "
股東權益,"$46,174 ","$26,632 ","$29,484 ","$37,416 ","$37,416 ","$37,416 ","$37,416 ","$37,416 ","$37,416 "
淨負債權益比率,(10.5),(3.7),15.8 ,11.8 ,11.8 ,11.8 ,11.8 ,11.8 ,11.8 
普通股權資本比率,23.3 ,34.1 ,35.7 ,41.8 ,41.8 ,41.8 ,41.8 ,41.8 ,41.8 
流動資產與流動負債比,3.06x,2.08x,2.10x,2.07x,2.07x,2.07x,2.07x,2.07x,2.07x
現金循環週期,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
