,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,"557,079","595,794","660,345","775,280","821,927","895,162","958,598","990,553","963,550"
毛利潤,0,0,0,0,0,0,0,0,0
營業利潤,"74,323","18,344","53,577","52,516","43,635","44,377","70,430","73,227","63,996"
淨收入,"44,880","10,491","33,167","30,446","26,553","20,786","48,043","51,388","43,411"
每股收益,$0.04 ,$0.35 ,$0.18 ,$0.08 ,$0.24 ,$0.33 ,$0.26 ,$0.32 ,$0.25 
息稅前利潤率,13.3,3.1,8.1,6.8,5.3,5.0,7.3,7.4,6.6
淨收入率,8.1,1.8,5.0,3.9,3.2,2.3,5.0,5.2,4.5
流動資產,"$629,816 ","$578,233 ","$649,600 ","$658,007 ","$661,929 ","$589,880 ","$744,303 ","$881,602 ","$849,424 "
非流動資產,"$2,299,280 ","$2,377,426 ","$2,349,343 ","$2,387,178 ","$2,415,716 ","$2,479,831 ","$2,481,191 ","$2,365,844 ","$2,232,060 "
負債總額,"$1,375,918 ","$1,332,243 ","$1,342,536 ","$1,370,172 ","$1,400,256 ","$1,341,346 ","$1,431,242 ","$1,495,661 ","$1,412,701 "
股東權益,"$1,553,178 ","$1,623,417 ","$1,656,407 ","$1,675,013 ","$1,677,389 ","$1,728,364 ","$1,794,252 ","$1,751,785 ","$1,668,783 "
淨負債權益比率,35.7 ,25.8 ,28.7 ,23.3 ,21.7 ,21.8 ,19.4 ,14.2 ,13.6 
普通股權資本比率,0.0 ,48.2 ,48.2 ,48.2 ,48.2 ,49.9 ,49.9 ,49.9 ,49.9 
流動資產與流動負債比,0.81x,0.80x,0.96x,0.91x,0.90x,0.93x,1.00x,1.00x,1.02x
現金循環週期,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
