,九季前,八季前,七季前,六季前,五季前,四季前,三季前,兩季前,上季前
總體收入,0,0,0,0,0,0,0,0,0
毛利潤,0,0,0,0,0,0,0,0,0
營業利潤,0,0,0,0,0,0,0,0,0
淨收入,0,0,0,0,0,0,0,0,0
每股收益,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
息稅前利潤率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
淨收入率,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流動資產,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$78,126 ","$78,126 ","$78,126 "
非流動資產,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
負債總額,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
股東權益,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
淨負債權益比率,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
普通股權資本比率,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
流動資產與流動負債比,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
現金循環週期,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x,0.00x
